winner,moves,time,p1_walls_left,p2_walls_left
2,14,1.1171,10,10
2,14,1.1248,10,10
2,14,1.0228,10,10
2,14,1.1494,10,10
2,14,1.3266,10,10
2,14,1.42,10,10
2,14,1.5612,10,10
2,14,1.5112,10,10
2,14,1.7559,10,10
2,14,1.522,10,10
2,14,1.5131,10,10
2,14,1.4913,10,10
2,14,1.3704,10,10
2,14,1.7163,10,10
2,14,2.5011,10,10
2,14,3.1389,10,10
2,14,1.6053,10,10
2,14,1.4266,10,10
2,14,1.1665,10,10
2,14,1.1523,10,10
2,14,1.2906,10,10
2,14,1.1222,10,10
2,14,1.3617,10,10
2,14,1.1767,10,10
2,14,1.2485,10,10
2,14,1.3901,10,10
2,14,1.2811,10,10
2,14,1.3506,10,10
2,14,2.0695,10,10
2,14,1.254,10,10
2,14,1.2895,10,10
2,14,1.384,10,10
2,14,1.326,10,10
2,14,1.2639,10,10
2,14,1.3281,10,10
2,14,1.3262,10,10
2,14,1.3858,10,10
2,14,1.4413,10,10
2,14,1.1772,10,10
2,14,1.3557,10,10
2,14,1.3685,10,10
2,14,1.0859,10,10
2,14,1.0758,10,10
2,14,1.0556,10,10
2,14,1.2493,10,10
2,14,1.1501,10,10
2,14,1.0976,10,10
2,14,1.144,10,10
2,14,1.1585,10,10
2,14,1.0398,10,10
