winner,moves,time,p1_walls_left,p2_walls_left
2,14,1.0728,10,10
2,14,1.041,10,10
2,14,0.9556,10,10
2,14,0.9644,10,10
2,14,0.9759,10,10
2,14,0.9549,10,10
2,14,1.0383,10,10
2,14,1.0221,10,10
2,14,1.0494,10,10
2,14,1.018,10,10
2,14,0.9617,10,10
2,14,1.0332,10,10
2,14,1.1216,10,10
2,14,1.0317,10,10
2,14,1.0623,10,10
2,14,0.9987,10,10
2,14,1.0261,10,10
2,14,0.9635,10,10
2,14,1.0399,10,10
2,14,1.0249,10,10
2,14,1.046,10,10
2,14,1.064,10,10
2,14,0.999,10,10
2,14,1.0704,10,10
2,14,0.9745,10,10
2,14,0.9798,10,10
2,14,1.0282,10,10
2,14,1.0413,10,10
2,14,1.0764,10,10
2,14,1.0413,10,10
2,14,1.0269,10,10
2,14,1.0526,10,10
2,14,1.057,10,10
2,14,1.0198,10,10
2,14,1.0631,10,10
2,14,1.0551,10,10
2,14,1.0326,10,10
2,14,0.9712,10,10
2,14,1.0706,10,10
2,14,1.018,10,10
2,14,1.0335,10,10
2,14,1.0494,10,10
2,14,1.1056,10,10
2,14,1.0737,10,10
2,14,1.0911,10,10
2,14,1.0598,10,10
2,14,1.0511,10,10
2,14,1.0382,10,10
2,14,1.0176,10,10
2,14,0.9981,10,10
